District,Pop_2011,Pop_2024,Cases_2024,AR_2024,Pop_2025,Cases_2025,AR_2025,Pop_2026,Cases_2026,AR_2026
Coimbatore,3458000,4175601,6449,154.4,4236611,1912,45.1,4298511,930,21.6
Chennai,4647000,5611341,7184,128.0,5693328,6347,111.5,5776513,1433,24.8
Krishnagiri,1880000,2270136,2664,117.3,2303305,519,22.5,2336958,94,4.0
Ariyalur,755000,911677,892,97.8,924997,541,58.5,938512,159,16.9
Kanchipuram,1166000,1407967,966,68.6,1428539,908,63.6,1449411,249,17.2
Tiruppur,2479000,2993440,2049,68.4,3037177,466,15.3,3081553,206,6.7
Perambalur,565000,682248,466,68.3,692217,235,33.9,702331,54,7.7
The Nilgiris,735000,887527,599,67.5,900494,91,10.1,913651,50,5.5
Cuddalore,2606000,3146795,2050,65.1,3192772,1534,48.0,3239422,433,13.4
Vellore,1614000,1948936,1220,62.6,1977412,559,28.3,2006304,85,4.2
Theni,1246000,1504569,896,59.6,1526552,355,23.3,1548856,117,7.6
Thiruvallur,3728000,4501631,2410,53.5,4567404,2143,46.9,4634138,285,6.2
Tiruchirappalli,2722000,3286867,1740,52.9,3334891,439,13.2,3383617,252,7.4
Tirupathur,1112000,1342761,617,46.0,1362380,221,16.2,1382286,34,2.5
Villupuram,2093000,2527338,1126,44.6,2564264,788,30.7,2601731,212,8.1
Namakkal,1727000,2085386,920,44.1,2115855,326,15.4,2146770,83,3.9
Pudukkottai,1618000,1953766,847,43.4,1982312,531,26.8,2011276,195,9.7
Thanjavur,2406000,2905291,1252,43.1,2947740,841,28.5,2990809,250,8.4
Ramanathapuram,1353000,1633773,664,40.6,1657644,271,16.3,1681864,188,11.2
Chengalpattu,2556000,3086419,1220,39.5,3131514,983,31.4,3177269,260,8.2
Tirunelveli,1665000,2010519,786,39.1,2039895,325,15.9,2069700,86,4.2
Tenkasi,1408000,1700187,625,36.8,1725028,240,13.9,1750233,147,8.4
Mayiladuthurai,918000,1108503,397,35.8,1124699,364,32.4,1141132,59,5.2
Tuticorin,1750000,2113158,669,31.7,2144034,262,12.2,2175360,85,3.9
Tiruvannamalai,2465000,2976535,937,31.5,3020025,799,26.5,3064150,196,6.4
Kanniyakumari,1870000,2258061,708,31.4,2291053,507,22.1,2324528,219,9.4
Madurai,3038000,3668443,1128,30.7,3722043,249,6.7,3776425,112,3.0
Nagapattinam,698000,842848,255,30.3,855163,190,22.2,867658,52,6.0
Erode,2252000,2719333,820,30.2,2759065,547,19.8,2799378,175,6.3
Dharmapuri,1507000,1819731,492,27.0,1846319,155,8.4,1873296,24,1.3
Sivaganga,1339000,1616868,424,26.2,1640492,140,8.5,1664461,60,3.6
Ranipet,1210000,1461098,382,26.1,1482446,333,22.5,1504106,73,4.9
Kallakurichi,1370000,1654301,427,25.8,1678472,273,16.3,1702996,55,3.2
Salem,3482000,4204582,970,23.1,4266015,399,9.4,4328345,120,2.8
Virudhunagar,1942000,2345002,542,23.1,2379265,192,8.1,2414028,81,3.4
Dindigul,2160000,2608241,572,21.9,2646350,147,5.6,2685016,75,2.8
Thiruvarur,1264000,1526304,317,20.8,1548605,298,19.2,1571231,103,6.6
Karur,1064000,1284800,245,19.1,1303572,91,7.0,1322619,83,6.3
